title,director,country,genre,year
Напугай меня,Джош Рубен,США,"чёрная комедия, ужасы",2020
Запретная кухня,"Фернанду Гроштейн Андради, [en]","США, Бразилия",комедийный фильм,2019
Захар Беркут,Ахтем Сеитаблаев,"США, Украина","экшен, экранизация, драма, приключения, исторический",2019
Загадочное убийство,"Кайл Ньюачек, ru",США,"боевик, комедия, драма, детектив",2019
Завод,Юрий Быков,"Россия, Франция","триллер, криминал, драма",2019
Завод (The Plant),Константин Самсонов,Россия,документальный фильм,2019
На острие,Эдуард Бордуков,Россия,"спортивный фильм, драма",2020
На Луне,Егор Михалков-Кончаловский,Россия,"триллер, приключения",2020
На дальних рубежах,Максим Дашкин,Россия,"драма, мелодрама",2020
Мы можем быть героями,Роберт Родригес,США,Супергеройский фильм,2020
Мучо Мучо Амор: Легенда о Вальтере Меркадо,"Карим Табш, Кристина Констатини",США,документальный фильм,2020
Москит,Жуан Нуну Пинту,"Португалия, Бразилия, Франция, Мозамбик","боевик, исторический фильм",2020
Момент истины,,США,,2020
Мулан,Ники Каро,США,"фэнтези, драма, боевик",2020
Мисс Плохое поведение,Филиппа Лоуторп,"Великобритания, Франция",драматический фильм,2020
Мой год в Нью-Йорке,Филипп Фалардо,"Канада, Ирландия",драма,2020
Мир грядущий,"Мона Фастволд, [d]",США,"драматический фильм, [1], [d], романтический фильм",2020
Мой учитель-осьминог,"Пиппа Эрлих, [d], James Reed, [d]",ЮАР,документальный фильм,2020
Мой создатель,"Гэвин Ротери, [d]","Великобритания, Венгрия, [2], США, [2]","Психологическая драма, Научная фантастика",2020
Мои волосы хотят убивать,"Джастин Симиен, [en]",США,,2020
Мисс Американа,Лана Уилсон,США,Документальное кино,2020
Минари,Ли Айзек Чун,США,драма,2020
Минамата,"Эндрю Левитас, Хлам, Храбрец, Моди",США,драматический фильм,2020
Милашки,Маймуна Дукуре,Франция,"комедия, драма",2020
Маша,Анастасия Пальчикова,Россия,Драма,2020
Марионетка,Элберт ван Стриен,"Нидерланды, Люксембург, Великобритания","триллер, мистика",2020
Марафон желаний,Даша Чаруша,Россия,"мелодрама, комедия",2020
Жизнь морских обитателей,Чжан Чи,Китай,драма,2019
Жизнь на перемотке,Антони Марсьяно,Франция,комедия,2019
Манк,Дэвид Финчер,США,фильм-биография,2020
Животные,"Софи Хайд, [d]","Австралия, Ирландия","драма, комедия",2019
Жёсткая краска,"Филипе Матцембахер, [d], [2], Марсио Реолон, [d], [3]",Бразилия,"драматический фильм, [d]",2018
Жадность,Майкл Уинтерботтом,Великобритания,"сатира, комедия",2019
Елгава 94,Янис Абеле,Латвия,"драматический фильм, приключенческий фильм",2019
Души в снежном вихре,"Дзинтарс Дрейбергс, (, рус.",Латвия,"блокбастер, военный фильм, драма",2019
Друзья навсегда,"Габриэла Каупертвэйте, [d]",США,драматический фильм,2019
Железное небо: Грядущая раса,"Тимо Вуоренсола, [1]","Финляндия, Германия","сатира, комедия, пародия, фантастика, альтернативная история",2019
Дружить по-русски!,Варант Суджян,Франция,комедия,2019
Дорогой папа,Михаил Расходников,Россия,"семейный, комедия",2019
Другой,Ли Кронин,"Ирландия, Великобритания, Бельгия, Финляндия","триллер, драма, ужасы, детектив",2019
Достать ножи,"Райан Джонсон, Кирпич, Братья Блум, Петля времени, Звёздные войны: Последние джедаи, Достать ножи, Достать ножи, Стеклянная луковица, Достать ножи 3",США,мистерия,2019
Дора и затерянный город,Джеймс Бобин,США,"приключения, семейный",2019
Домино,Брайан Де Пальма,"Дания, Франция, Италия, Бельгия, Нидерланды","триллер, криминальный фильм",2019
Донбасс. Окраина,Ренат Давлетьяров,Россия,"военный, драма",2019
Домой,Нариман Алиев,Украина,Драма,2019
Домовой,Евгений Бедарев,Россия,"фэнтези, семейный фильм, комедия, боевик",2019
Доктор Сон,Майк Флэнаган,США,ужасы,2019
Дитя робота,Грант Спьютор,Австралия,"триллер, фантастика",2019
Дождливый день в Нью-Йорке,Вуди Аллен,США,Романтическая комедия,2019
Для Самы,"Ваад Аль-Катиб, Эдвард Уоттс, [d]","Великобритания, Сирия",документальный фильм,2019
Дикие мальчишки,"Бертран Мандико, [d]",Франция,"драматический фильм, приключенческий фильм",2017
Дикая лига,"Андрей Богатырёв, Арт Камачо",Россия,"исторический, драма, спортивная",2019
Джуди и Панч,Мирра Фолкс,Австралия,"триллер, чёрная комедия",2019
Джуманджи: Новый уровень,Джейк Кэздан,США,"приключения, фэнтезийная комедия",2019
Джим Маршалл: Рок-н-ролл в объективе,Альфред Джордж Бэйли,"США, Великобритания",документальный фильм,2019
Джон Уик 3,Чад Стахелски,США,,2019
Джуди,Руперт Гулд,Великобритания,"биография, мюзикл, драма",2019
