title,director,country,genre,year
Минамата,"Эндрю Левитас, Хлам, Храбрец, Моди",США,драматический фильм,2020
Ма Рейни: Мать блюза,Джордж С. Вольф,США,драма,2020
Людвиг ван Бетховен,"Ники Штайн, [de]","Германия, Чехия, [1]","биографический фильм, драма",2020
Любовь. Свадьба. Повтор,"Дин Крейг, [d]","Великобритания, [1]","романтический фильм, [1], комедийный фильм, романтическая комедия",2020
"Любовь, свадьбы и прочие катастрофы",Деннис Дуган,США,,2020
Любовь и монстры,Майкл Мэтьюз,"США, Канада","постапокалиптика, фантастика, приключения",2020
Марафон желаний,Даша Чаруша,Россия,"мелодрама, комедия",2020
Манк,Дэвид Финчер,США,фильм-биография,2020
Люди Икс,"Брайан Сингер, Бретт Рэтнер, Гэвин Худ, Мэттью Вон, Джеймс Мэнголд, Тим Миллер, Джош Бун, [d], Дэвид Литч, Саймон Кинберг",США,супергеройский фильм,2000
Любовь без размера,Мария Шульгина,Россия,"мелодрама, комедия",2020
Марш утренней зари,Роман Качанов,Россия,"музыкальное кино, историческое кино, комедия",2022
Мегрэ и таинственная девушка,Патрис Леконт,"Франция, Бельгия",[d],2022
Месть,Б. Дж. Новак,США,"драма, комедия",2022
Маскарад,Николя Бедос,Франция,"драматический фильм, комедийный фильм",2022
Матильда,"Мэттью Уорчас, ru","США, Великобритания",,2022
Любовники,Николь Гарсиа,Франция,"фильм-триллер, [d]",2020
Меню,Марк  Майлод,США,"комедия ужасов, чёрная комедия, триллер",2022
"Марсель, ракушка в ботинках",Дин Флейшер-Кэмп,США,Комедийная драма,2021
Маньяк,Франк Кальфун,Франция,"психологический триллер, слэшер",2012
Малыш Джо,Джессика Хаузнер,"Австрия, Великобритания, Германия","драматический фильм, научно-фантастический фильм",2019
"Мальчик, Крот, Лис и Конь","Peter Baynton, [d], Чарли Маккизи","Великобритания, США",,2022
Любовь по вызову,"Софи Хайд, [d]",Великобритания,комедийная драма,2022
